species,life_stage,lower,upper,suit
rainbow,fry,0,0.06,0.1
rainbow,fry,0.06,2,0.3
rainbow,fry,2,64,1
rainbow,fry,64,256,1
rainbow,fry,256,1000,1
rainbow,fry,1000,4000,1
rainbow,fry,4000,10000,1
rainbow,parr,0,0.06,0
rainbow,parr,0.06,2,0.1
rainbow,parr,2,64,0.5
rainbow,parr,64,256,0.6
rainbow,parr,256,1000,0.9
rainbow,parr,1000,4000,1
rainbow,parr,4000,10000,0.4
steelhead,fry,0,0.06,0.1
steelhead,fry,0.06,2,0.3
steelhead,fry,2,64,1
steelhead,fry,64,256,1
steelhead,fry,256,1000,1
steelhead,fry,1000,4000,1
steelhead,fry,4000,10000,1
steelhead,parr,0,0.06,0
steelhead,parr,0.06,2,0.1
steelhead,parr,2,64,0.5
steelhead,parr,64,256,0.6
steelhead,parr,256,1000,0.9
steelhead,parr,1000,4000,1
steelhead,parr,4000,10000,0.4
coho,fry,0,0.06,0.4
coho,fry,0.06,2,0.5
coho,fry,2,64,1
coho,fry,64,256,0.8
coho,fry,256,1000,0.6
coho,fry,1000,4000,0.4
coho,fry,4000,10000,0.2
chinook,fry_spring,0,0.06,0.05
chinook,fry_spring,0.06,2,0.1
chinook,fry_spring,2,64,0.7
chinook,fry_spring,64,256,1
chinook,fry_spring,256,1000,1
chinook,fry_spring,1000,4000,1
chinook,fry_spring,4000,10000,0.4
chinook,fry_summer,0,0.06,0.05
chinook,fry_summer,0.06,2,0.1
chinook,fry_summer,2,64,0.7
chinook,fry_summer,64,256,1
chinook,fry_summer,256,1000,1
chinook,fry_summer,1000,4000,1
chinook,fry_summer,4000,10000,0.4
